SQLDATEE,Count,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone
20160713,1191,1.104423733,8.369077604,1.024069409,8.162690133,-1.082638346
20160714,1219,0.74874984,7.941650525,1.044088261,7.786359767,-1.327150929
20160715,1213,0.515869363,8.075403849,1.048237349,7.90597145,-1.471147451
20160716,877,0.529705417,7.883265852,1.017456698,7.563141802,-1.50071996
20160717,794,0.718343765,7.812598684,1.010075567,7.600169153,-1.398252994
20160718,1092,0.762627292,8.079690226,1.014448514,7.857067214,-1.455411449
20160719,1106,0.535525878,8.369402575,1.039029536,8.192515388,-1.459820067
20160720,1217,0.271626551,8.079181675,1.056998083,7.830929668,-1.655246059
20160721,1094,0.929510479,8.135064028,1.049222342,7.878795331,-1.168712423
20160722,962,0.857961596,8.180218572,1.048760024,7.941103633,-1.218932473
20160723,737,0.636188958,8.350423495,1.041542289,8.13381586,-1.573813605
20160724,717,0.620838029,8.190375478,1.026333267,7.985518465,-1.507786939
20160725,940,0.780508776,7.86657495,1.026170213,7.70724111,-1.03964218
20160726,1089,1.052937771,8.155387574,1.069941843,7.8471927,-1.214102474
20160727,1292,0.968059527,8.136072205,1.065955897,7.895919315,-1.06950114
20160728,1374,1.188171138,8.095936413,1.079131721,7.872489889,-0.848343674
20160729,1545,1.316980168,8.15038005,1.080453074,7.940617374,-0.674341098
20160730,1045,1.016915236,8.062395937,1.04281727,7.821064055,-1.119508065
20160731,819,0.917366219,7.917821988,1.03032153,7.678353384,-1.029427154
20160801,1207,1.020704521,8.042512567,1.032242474,7.880386871,-1.096248817
20160802,1296,1.188778296,8.365140077,1.062684328,8.058851497,-1.163365946
20160803,1263,1.364175352,8.136827452,1.042517815,7.890018625,-1.096031227
20160804,1529,1.059642611,7.948909569,1.078735114,7.749650299,-1.526853205
20160805,1504,0.664401751,7.897269872,1.063120567,7.731001086,-1.508446935
20160806,859,0.57187637,7.917536771,1.026678308,7.755527819,-1.418811731
20160807,731,0.780420975,8.012656882,1.035274575,7.795874713,-1.046414173
20160808,1111,0.923603882,8.330598949,1.055805581,8.07341323,-1.053898111
20160809,1253,1.041492912,8.060022216,1.043619124,7.886029383,-1.346537799
20160810,1216,0.630892596,8.448072166,1.041337719,8.270672286,-1.608842537
20160811,1214,0.793351893,8.179349872,1.028418451,7.987809429,-1.601610852
20160812,1174,0.652619694,8.58567954,1.045428734,8.39509958,-1.635797089
20160813,777,0.473748686,8.203596118,1.04381933,7.947801548,-1.513532105
20160814,624,0.701970955,7.876794614,1.043669872,7.664294614,-1.4609942
20160815,836,0.510326494,7.962723281,1.034888357,7.771633231,-1.453669739
20160816,1083,0.997283866,8.098147571,1.033010157,7.848137311,-1.35838717
20160817,1251,0.637454096,7.957280175,1.038120932,7.715061569,-1.627631873
20160818,1294,0.009179613,8.269200775,1.03443917,7.939371794,-1.933085079
20160819,1068,0.776309611,8.546617832,1.031670234,8.156468278,-1.293589637
20160820,702,0.905771713,7.927150113,1.050688509,7.734251756,-1.192172674
20160821,640,0.659891215,8.170912707,1.028862847,7.909087423,-1.277755677
20160822,1017,0.894823704,8.554074014,1.039998595,8.226733783,-1.316706828
20160823,1263,0.67037478,8.39636475,1.048535234,8.155921236,-1.356219738
20160824,1322,0.550509303,8.192094651,1.02719995,7.83169,-1.607259119
20160825,1348,0.660742829,8.174565141,1.044093497,7.844369513,-1.888771695
20160826,1152,0.207136516,8.304017586,1.019748264,8.055843947,-2.216248224
20160827,755,0.640134113,8.39056547,1.030463576,8.075664808,-1.63279339
20160828,700,0.271913122,8.065113066,1.022676871,7.847474023,-1.474775539
20160829,1073,0.9627264,8.063248896,1.037105578,7.881048027,-1.261963428
20160830,1217,0.758853448,7.963895759,1.056340729,7.78307205,-1.690583576
20160831,1350,0.947706438,8.432090621,1.0623107,8.131085785,-1.512117394
20160901,1311,0.816996231,8.381919074,1.043033308,8.057768098,-1.2130774
20160902,1221,0.902158354,8.14522447,1.037674038,7.900967309,-1.028233297
20160903,929,0.94808961,7.977127246,1.028973807,7.780292452,-1.113435577
20160904,882,1.167167108,7.654290843,1.025415722,7.463280153,-0.994690571
20160905,1228,1.084136937,8.023509684,1.05294887,7.777035814,-0.98921984
20160906,1193,1.057378568,8.53853775,1.049874267,8.244705522,-0.960955556
20160907,1361,0.878871985,8.155954521,1.04659564,7.871477869,-1.397037
20160908,1422,0.651949329,8.026926023,1.035319135,7.783290621,-1.598083391
20160909,1315,0.467254599,8.464718513,1.035040785,8.126235527,-1.635030974
20160910,853,0.913951607,8.017651629,1.025048847,7.828250644,-1.05447212
20160911,725,1.012023638,8.088636173,1.026206897,7.885095185,-0.937665097
20160912,1140,1.22250085,8.349441251,1.02375731,8.106759294,-0.971248921
20160913,1275,1.258485719,8.32458688,1.042993464,8.090886584,-1.189056664
20160914,1575,1.066653579,7.89562041,1.05799093,7.680884574,-1.141797098
20160915,1447,0.849476261,7.997833932,1.02758581,7.767219024,-1.364130556
20160916,1311,0.922876637,8.329056413,1.04877532,8.054014339,-1.327650251
20160917,962,1.112046534,8.172226066,1.02041877,7.975303759,-1.359493404
20160918,813,0.767641987,8.046112473,1.030442804,7.786610025,-1.399889198
20160919,1256,1.41400833,8.065683306,1.038535032,7.863985822,-0.964755684
20160920,1389,1.327723516,8.384062314,1.074493469,8.146580169,-1.21926972
20160921,1395,1.058529961,7.766499762,1.050171727,7.61657131,-0.923723634
20160922,1313,1.169662781,8.324026074,1.038810612,8.025938573,-1.028266114
20160923,1188,0.848199124,8.485321532,1.054129256,8.09238736,-1.112607152
20160924,828,1.113540408,8.199270907,1.045189211,8.003858052,-0.989284751
20160925,640,0.967489229,7.9268921,1.019494048,7.709390473,-0.872862024
20160926,1052,1.372323638,7.980907977,1.036732754,7.738799521,-0.663164379
20160927,1227,1.240300057,8.645821084,1.071624559,8.301545592,-0.806149368
20160928,1157,0.933044619,8.293257355,1.047213648,8.036783363,-1.170235491
20160929,1135,1.149959238,8.620820279,1.073007132,8.357844962,-1.149374517
20160930,1268,1.216080719,7.954584448,1.037526288,7.741142825,-0.714301631
20161001,881,1.312125764,7.94898685,1.04236798,7.816380089,-0.887007628
20161002,690,1.198785726,8.123606656,1.036231884,7.908161139,-0.917165096
20161003,1172,1.145510216,8.051613408,1.087343572,7.841019943,-1.075887578
20161004,1248,1.02300148,8.14682921,1.036413818,7.921399169,-1.256377744
20161005,1215,1.250606025,8.302572516,1.038331751,7.917988121,-0.959311934
20161006,1331,1.165798692,8.042392909,1.02053236,7.732198314,-1.191769017
20161007,1216,1.068228637,8.340226317,1.053591009,8.053616688,-0.826000081
20161008,806,1.178369896,7.739194218,1.010215054,7.573509768,-0.867310642
20161009,719,1.220519503,8.025207762,1.017532769,7.819327682,-0.933999233
20161010,808,0.919003345,8.209307473,1.016560585,7.977757175,-1.161244181
20161011,1076,1.148395653,8.006636285,1.036567057,7.790103621,-0.722583596
20161012,1199,1.009557479,8.119283985,1.03892061,7.962263525,-0.99885241
20161013,1230,1.130074097,8.259932955,1.051266938,8.031721609,-0.799904496
20161014,1279,0.632678808,8.415093679,1.06235154,8.080264882,-1.111686103
20161015,1044,0.492242993,8.315353134,1.07131074,8.077087611,-1.379712295
20161016,993,0.767351747,7.907501784,1.047960725,7.705127164,-0.828242303
20161017,1118,1.014034704,8.255474804,1.039296363,7.917525802,-0.917951131
20161018,1235,0.747675348,8.372865304,1.039919028,8.028188725,-1.235053319
20161019,1415,0.332083597,8.468259675,1.043227326,8.213148944,-1.888181701
20161020,1491,-0.13781484,8.075230009,1.057008719,7.857663916,-2.321377355
20161021,1301,0.491228462,8.119204798,1.047906872,7.87127835,-1.474161163
20161022,761,0.536241838,8.026651958,1.035622984,7.843721866,-1.383775698
20161023,645,0.708066806,8.132112445,1.040310078,7.973054404,-1.419185338
20161024,1101,0.716749632,7.908626763,1.0208901,7.67740957,-1.402046959
20161025,1271,0.718532918,8.593084109,1.087595069,8.387255811,-1.897312307
20161026,1107,0.766473752,8.186212988,1.056157784,7.951886695,-1.539347295
20161027,1193,1.169379517,8.328069964,1.036530555,8.061181042,-1.275525023
20161028,1370,1.185502077,8.413081097,1.040389294,8.153091755,-1.134035983
20161029,791,1.303635436,8.405196062,1.082258744,8.157681467,-1.167716115
20161030,671,1.118159134,7.63987746,1.029415939,7.411346031,-0.867085965
20161031,1074,0.953660088,8.329979204,1.058180367,8.113485115,-1.090827116
20161101,1077,0.965991527,8.209537567,1.070179511,7.993802822,-1.215566727
20161102,1231,0.733144256,8.315724602,1.063341742,8.070427881,-1.253537236
20161103,1140,1.092186724,8.349510345,1.052055138,8.063936181,-1.169673864
20161104,1111,1.067444207,8.573587253,1.067399597,8.337310649,-1.008140358
20161105,849,0.928521963,8.436460706,1.035251556,8.061635488,-1.039135668
20161106,747,1.083959302,7.887390807,1.031012941,7.726681592,-1.307213731
20161107,1095,0.914019038,7.92275574,1.057843009,7.681989089,-1.11042486
20161108,1151,1.203435782,8.127344389,1.04552563,7.861610577,-1.2955971
20161109,1125,1.094391467,7.894849785,1.044711111,7.618351236,-0.825866319
20161110,1180,1.052277197,8.052300446,1.042664059,7.802583132,-0.775858534
20161111,1143,1.119643899,7.8350135,1.037425877,7.630983415,-1.053417277
20161112,736,0.932656272,7.95486162,1.01963477,7.799666227,-1.105983532
20161113,650,1.203805752,8.297649562,1.027230769,7.948607727,-0.957692689
20161114,1142,0.666334641,8.642604224,1.080049621,8.389487651,-1.007841619
20161115,1386,1.052359572,8.06903765,1.07224026,7.890721755,-1.011676233
20161116,1350,1.087945618,7.645554739,1.045353028,7.449338337,-0.944361364
20161117,1423,1.138849417,8.375740037,1.073401265,8.074310058,-1.035967078
20161118,1306,1.013445374,7.803829121,1.05067515,7.609715378,-1.31722537
20161119,858,0.861531425,7.821399039,1.047027972,7.584078279,-1.435542852
20161120,680,1.337614167,7.98580514,1.030882353,7.754310042,-0.908108562
20161121,1170,1.121073371,8.006544349,1.056267806,7.721781303,-1.012988745
20161122,1287,1.189092348,7.917929428,1.061928195,7.656958609,-1.00786594
20161123,1237,1.003681025,8.261236436,1.071085961,7.980278256,-1.010911273
20161124,1140,0.741000882,8.553162063,1.043101409,8.199943411,-1.068037307
20161125,1146,0.773570475,8.345576292,1.030831879,8.040053029,-1.362198299
20161126,929,0.485864638,7.304160945,1.06063868,7.188993276,-1.715708036
20161127,767,1.037459408,7.567508134,1.021077792,7.436661515,-1.010438158
